F*Ck You Haiku,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
FABULOUS COSPLAY FOOTWEAR,C&T Publishing,9781644031605,,Humble Book Bundle: The Cosplayer's Bookshelf
Fade To Blonde,Titan Publishing Group,,,Humble Book Bundle: Crime Noir by Hard Case Crime
Fairytale Blankets to Crochet,Open Road Media,978-1446308387,,Humble Book Bundle: Amigurumi and Crochet
Family Crests of Japan,Stone Bridge Press,978-1611720334,,Japanese Culture & Language
Fast & Fun Knits: Feel Good Projects to Make You Smile,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
Fast Start Advanced Calculus,Morgan & Claypool Publishers,978-1681735559,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
Fast Start Differential Calculus,Morgan & Claypool Publishers,978-1681735498,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
Fast Start Integral Calculus,Morgan & Claypool Publishers,978-1681735528,,"Humble Book Bundle: Math Statistics, & Game Theory Toolkit"
"Fearless Fair Isle Knitting: 30 Gorgeous Original Sweaters, Socks, Mittens, and More",Abrams Books,9781600853272,,Humble Book Bundle: Knit Happens!
Feature Engineering for Machine Learning and Data Analytics,Taylor & Francis,9781138196544,,Data Science Essentials
Federated Learning,Morgan & Claypool Publishers,978-1-68173-697-6,,AI & Machine Learning Toolkit
Female Breastplate Pattern Collection 1,Kamui Cosplay,N/A (Self-Published),,Humble Book Bundle: The Cosplayer's Bookshelf
Female Breastplate Pattern Collection 2,Kamui Cosplay,,,Humble Book Bundle: Return of the Cosplay
Feng Shui: Reference to Go,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
"Ferment: A Guide to the Ancient Art of Culturing Foods, from Kombucha to Sourdough",Chronicle Books,978-1452175270,,The Calculating Chef
Fermenting For Dummies,Wiley,9781118616109,,Humble Book Bundle: DIY Home & Hobby by Wiley
Festive As F*ck: Subversive Cross-Stitch For the Holidays,Insight Editions / Weldon Owen,9798886740769,,Humble Craft Book Bundle: Stitch & Bitch by Insight Editions
FIELD & STREAM OUTDOOR SURVIVAL GUIDE,Weldon Owen,9781616284152,,Ultimate Survival Guides
FIELD & STREAM SKILLS GUIDE: FISHING,Weldon Owen,9781616284145,,Ultimate Survival Guides
Field Guide to Cocktails,Quirk Books,9781594744419,,Cooking Forking Good Food
Field Guide to Dumb Birds of North America,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Field Guide to Herbs & Spices,Quirk Books,9781594742897,,Cooking Forking Good Food
Field Guide to Meat,Quirk Books,9781594747953,,Cooking Forking Good Food
Field Guide to Produce,Quirk Books,9781594742880,,Cooking Forking Good Food
Field Guide to Seafood,Quirk Books,9781594741340,,Cooking Forking Good Food
Final Fantasy V,Boss Fight Books,978-1-940535-18-0,,Humble Book Bundle: Video Game Histories
Final Fantasy VI,Boss Fight Books,978-1-940535-19-7,,Humble Book Bundle: Video Game Histories
"Find Out Anything From Anyone, Anytime",Red Wheel/Weiser,978-1601632982,,Choose Your Own Career Path
Find Your F*ckyeah,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
Find Your Flow: The Simple and Life-Changing Practice for a Happier You,The Quarto Group,9781529402513,,Humble Book Bundle: Mindfulness & Meditation by Quarto
"Find Your Glow, Feed Your Soul: A Guide for Cultivating a Vibrant Life of Peace & Purpose",The Quarto Group,9781631067099,,Humble Book Bundle: Mindfulness & Meditation by Quarto
Find Your Mantra: Inspire and Empower Your Life with 75 Positive Affirmations,The Quarto Group,9781631067211,,Humble Book Bundle: Mindfulness & Meditation by Quarto
Finding Faeries,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
Finite Element Analysis: A Primer,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Fintech Fundamentals,"Walter De Gruyter, Inc.",,,Cybersecurity & Data Science
First Time Garment Fitting,The Quarto Group,9781589239623,,"Crafting, Knitting, & More"
First Time Sewing,Open Road Media,,,Humble Book Bundle: Return of the Cosplay
First Time Sewing with a Serger,The Quarto Group,9781631597145,,"Crafting, Knitting, & More"
First Words - Italian [rf-FWI],Lonely Planet,,,Learn a New Language and Travel the World Bundle
First Words - Japanese [rf-FWJ],Lonely Planet,,,Learn a New Language and Travel the World Bundle
First Words - Mandarin [rf-FWM],Lonely Planet,,,Learn a New Language and Travel the World Bundle
First Words French,Lonely Planet,,,Learn a New Language and Travel the World Bundle
First Words Spanish,Lonely Planet,,,Learn a New Language and Travel the World Bundle
First-Time Gardener: Growing Plants and Flowers,The Quarto Group,9780760370711,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
First-Time Gardener: Growing Vegetables,The Quarto Group,9780760368725,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
First-Time Gardener: Raised Bed Gardening,The Quarto Group,9780760370674,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Fish,The Quarto Group,9781911127222,,Humble Book Bundle: Cookbooks by Quarto
"Fish & Shellfish, Grilled & Smoked",The Quarto Group,9781558327771,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Fitness Over 40,Callisto Publishing,9781646115228,,Humble Book Bundle: Health & Wellness
Five Archetypes,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
Five Lines of Code: How and when to refactor,Manning Publications,9781617298318,,Code Like a Pro 2024 by Manning
Fix-It and Forget-It Big Cookbook,Skyhorse Publishing,978-1620873960,,Eat Like a Geek
Flask Web Development,O'Reilly,9781491991732,,Develop and Design for Web Apps
Flask Web Development (2nd Edition),O'Reilly Media,9781491991732,,Humble Book Bundle: Web Programming by O'Reilly
Flight Science,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
"Flour, too",Chronicle Books,978-1452106236,,The Calculating Chef
Flour: A Baker's Collection of Spectacular Recipes,Chronicle Books,978-0811869447,,The Calculating Chef
Flow Architectures,O'Reilly,9781492076414,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Flowchart and Algorithm Basics,Mercury Learning and Information,9781683925378,,Programming Fundamentals 2023 by Mercury
Fluent Python,O'Reilly Media,9781492056355,,Humble Book Bundle: Programming Languages by O'Reilly
Flutter Cookbook,Packt Publishing,9781838823382,,"iOS, Android, and Flutter: Mobile Development"
Flutter for Beginners,Packt,9781789615302,,iOS & Android Mobile Development by Packt
Flutter in Action,Manning Publications,9781617296147,,Web & iPhone Mobile Apps
Flutter Projects,Packt Publishing,9781838647773,,"iOS, Android, and Flutter: Mobile Development"
"Foam Armor, Fast",Punished Props,,,Humble Book Bundle: Return of the Cosplay
Foamsmith 2: How to Forge Foam Weapons,Punished Props,,,Humble Book Bundle: Return of the Cosplay
"Foamsmith 3: How to Make Helmets, Crowns, and Masks",Punished Props,,,Humble Book Bundle: Return of the Cosplay
Foamsmith: How to Create Foam Armor Costumes,Punished Props,,,Humble Book Bundle: Return of the Cosplay
Foil Pack Dinners,Simon & Schuster,,,Humble Book Bundle: How to Do Everything and Anything by Tiller Press
Food Americana: The Remarkable People and Incredible Stories behind America’s Favorite Dishes,Mango Media,9781642505535,,"Humble Book Bundle: Eat, Drink & Be Merry"
Food by Fire,The Quarto Group,9781592339686,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Food Network Magazine 25 Minute Dinners,Hearst Specials,Not listed on page,,Humble Book Bundle: The Home Cook's Toolkit by Hearst
Food Network Magazine Best Pasta Dinners,Hearst Specials,Not listed on page,,Humble Book Bundle: The Home Cook's Toolkit by Hearst
Food Network Magazine Chocolate Lover's Cookbook,Penguin Random House US,N/A (Hearst Special Edition),,Humble Book Bundle: Cook Like a Pro
Food Network Magazine Easy Baking,Hearst Specials,Not listed on page,,Humble Book Bundle: The Home Cook's Toolkit by Hearst
Food Network Magazine Easy Chicken Dinners,Hearst Specials,Not listed on page,,Humble Book Bundle: The Home Cook's Toolkit by Hearst
Food Network Magazine Holiday Cookie Cookbook,Hearst Specials,Not listed on page,,Humble Book Bundle: The Home Cook's Toolkit by Hearst
Food Network Magazine Italian,Hearst Specials,Not listed on page,,Humble Book Bundle: The Home Cook's Toolkit by Hearst
Food Network Magazine One-Pan Dinners,Hearst Specials,Not listed on page,,Humble Book Bundle: The Home Cook's Toolkit by Hearst
Food Network Magazine Soups & Stews,Hearst Specials,Not listed on page,,Humble Book Bundle: The Home Cook's Toolkit by Hearst
Food Network Magazine Summer Pasta,Hearst Specials,Not listed on page,,Humble Book Bundle: The Home Cook's Toolkit by Hearst
Food Network Magazine Summer Pasta Cookbook,Penguin Random House US,N/A (Hearst Special Edition),,Humble Book Bundle: Cook Like a Pro
Food Network Magazine: The Cupcake Cookbook,Hearst Specials,Not listed on page,,Humble Book Bundle: The Home Cook's Toolkit by Hearst
Food Network Magazine: The Easy Grilling Cookbook,Hearst Specials,Not listed on page,,Humble Book Bundle: The Home Cook's Toolkit by Hearst
Forbidden Knowledge,Simon & Schuster / Adams Media,9781605506456,,Life Hacks by Adams Media
Forecasting Time Series Data with Prophet - Second Edition,Packt,,,Machine Learning and AI 2023
Forking Good,Quirk Books,9781683691556,,Cooking Forking Good Food
Forrest Mims' Science Experiments,O'Reilly / Maker Media,9781680451177,,Humble Book Bundle: Programming for Makers by Make Co.
Forty-Seven Samurai,Stone Bridge Press,9781611725339,,Humble Book Bundle: Japanese Art and Culture
Foundation Gatsby Projects,Springer / Apress,978-1484265574,,Full Stack Web Development by Springer/Apress
Foundations of Data Intensive Applications: Large Scale Data Analytics under the Hood,Wiley,9781119713029,,Data Visualization by Wiley
"Foundations of Math:Alg,Trig,Geom, Calc","Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
Foundations of Physically Based Modeling and Animation,Taylor & Francis Group,Not listed on page,,Data Visualization by Taylor & Francis
Foundations of Scalable Systems,O'Reilly,9781098106065,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
France Country Guide,Lonely Planet,,,Learn a New Language and Travel the World Bundle
Free Will,MIT Press,9780262539011,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
FreeBSD Device Drivers: A Guide for the Intrepid,No Starch Press,978-1-59327-422-1,,Humble Tech Book Bundle: Linux by No Starch Press
Freehand: Sketching Tips and Tricks Drawn from Art,Chronicle Books,,,Humble Book Bundle: Start Something New by Chronicle
French Cooking for Beginners,Callisto Publishing,Check copyright page,,Humble Book Bundle: Cooking Around the World
French Phrasebook,Lonely Planet,,,Learn a New Language and Travel the World Bundle
From Big Idea to Book,Microcosm,N/A (eBook Download),,Humble Book Bundle: Unf*ck the Holidays by Microcosm
From Conflict to Community: Transforming Conflicts Without Authorities,Microcosm,9781621064046,,Humble Book Bundle: Go Unf*ck Yourself by Microcosm
From Conflict to Courage,Berrett-Koehler,9781523000067,,Humble Leadership by Berrett-Koehler
From Dream to Reality: How to Make a Living as a Freelance Writer,Microcosm,9781648410703,,Humble Book Bundle: Go Unf*ck Yourself by Microcosm
From Newton to Einstein: Ask the Physicist about Mechanics and Relativity,Morgan & Claypool Publishers,9781681741031,,Humble Tech Book Bundle: Kickass Physics by Morgan Claypool
"Front-end Development with ASP.NET Core, Angular, and Bootstrap",Wiley,978-1119181316,,Humble Book Bundle: Programmer Advice That Wrox Your World by Wiley
Frontiers of Data Science,Taylor & Francis,9781498759328,,Data Science Essentials
Frugal Isn't Cheap,Red Wheel/Weiser,978-1632650344,,Choose Your Own Career Path
Fuck Happiness: How Women Are Ditching the Cult of Positivity and Choosing Radical Joy,Microcosm,Not Supplied,,Humble Books Bundle: Unf*ck Your Life by Microcosm
Full Stack Development with Spring Boot and React,Packt,9781803243177,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
"Full Stack FastAPI, React, and MongoDB",Packt,9781803233802,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
Full Stack Python Security,Manning Publications,9781617298820,,Code Like a Pro 2024 by Manning
Full Stack Quarkus and React,Packt,9781800562394,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
Full-Stack React Projects - Second Edition,Packt,9781839827372,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
"Full-Stack React, TypeScript, and Node",Packt,9781839827402,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
Full-Stack Web Development with GraphQL and React,Packt,9781803236308,,Humble Tech Book Bundle: The Ultimate Guide to React.js by Packt
Functional Programming Patterns in Scala and Clojure,The Pragmatic Programmers,978-1-93778-547-5,,Functional Programming by Pragmatic Programmers
Functional Programming: A PragPub Anthology,The Pragmatic Programmers,978-1-68050-233-6,,Functional Programming by Pragmatic Programmers
Functional Python Programming,Packt,9781803232577,,Python Master 2024
"Functional Web Development with Elixir, OTP, and Phoenix",The Pragmatic Programmers,978-1-68050-243-5,,Functional Programming by Pragmatic Programmers
Fundamentals of Software Architecture,O'Reilly,9781492040002,,Humble Tech Book Bundle: Head First Programming and Patterns by O'Reilly
Funny amigurumi,Open Road Media,,,"Humble Craft Book Bundle: Amigurumi, Crochet, and More"
Galaga,Boss Fight Books,978-1-940535-03-6,,Humble Book Bundle: Video Game Histories
"Game Development Patterns with Unity 2021, Second Edition",Packt,,,Learn to Program by Developing Games with Unity
Game Wizards,Penguin Random House US,9780262542951,,Inside Gaming by MIT Press
Gardening Complete,The Quarto Group,9781589239418,,Humble Book Bundle: Grilling & Gardening 2022 by Quarto
Gardening Hacks,Simon & Schuster / Adams Media,9781507215289,,Life Hacks by Adams Media
Geek Sweets: An Adventurer's Guide to the World of Baking Wizardry,Mango Media,9781633536418,,"Humble Book Bundle: Eat, Drink & Be Merry"
Geek's Cookbook,Skyhorse Publishing,978-1510766310,,Eat Like a Geek
Gender(s),MIT Press,9780262542609,,Humble Book Bundle: Essential Knowledge: Learn Something New by MIT Press
General Video Game Artificial Intelligence,Morgan & Claypool Publishers,,,Humble Book Bundle: Cutting Edge Tech by Morgan Claypool
Generative Deep Learning (2nd Edition),O'Reilly Media,9781098134181,,Humble Book Bundle: Data & AI by O'Reilly
Genetic Algorithms and Machine Learning for Programmers,Pragmatic Programmers,9781680506204,,Databases and Data Management by Pragmatic
Genetic Algorithms in Elixir,Pragmatic Bookshelf,9781680507942,,Humble Tech Book Bundle: Elixir Programming
Genetics 101,Simon & Schuster (Adams Media),9781507207642,,Humble Book Bundle: Knowledge 101!
Geometry Creation and Import with COMSOL,"Walter De Gruyter, Inc.",,,Humble Book Bundle: Applied Mathematics
